row                            w8 med     w1 med  w1/w8             w8 min..max   w1 min..max
2x32/avx512/kc=128              164.3        176   1.07        163.9..169.1          174.9..178.7
2x32/avx512/kc=32               45.16         48   1.06        44.71..50.06          47.73..48.3
2x32/avx512/kc=512              668.5      735.9   1.10        659.4..693.9          721.8..743.4
2x32/avx512/kc=8                16.73      16.14   0.97        16.54..19.39          16.06..18.59
2x32/scalar/kc=128          1.884e+04   1.98e+04   1.05    1.385e+04..2.017e+04  1.956e+04..2e+04
2x32/scalar/kc=32                1376       5114   3.72         1213..4373            5050..5147
2x32/scalar/kc=512          7.807e+04  7.819e+04   1.00    6.667e+04..7.944e+04  7.746e+04..7.923e+04
2x32/scalar/kc=8                  350       1328   3.79        348.5..394.8           1315..1344
4x32/avx512/kc=128              474.8      460.6   0.97        469.6..479.2          458.2..489
4x32/avx512/kc=32               123.2      119.9   0.97        122.2..124.3          119.1..120.3
4x32/avx512/kc=512               1866       1814   0.97         1845..1890            1803..1819
4x32/avx512/kc=8                36.87      35.64   0.97         36.4..39.09          35.52..35.88
4x32/scalar/kc=128           3.88e+04  4.005e+04   1.03    3.235e+04..4.061e+04  3.942e+04..4.048e+04
4x32/scalar/kc=32                2556  1.018e+04   3.99         2297..8505       1.006e+04..1.028e+04
4x32/scalar/kc=512          1.613e+05  1.623e+05   1.01    1.548e+05..1.627e+05  1.602e+05..1.64e+05
4x32/scalar/kc=8                643.1       2700   4.20        639.3..657             2679..2715
6x32/avx512/kc=128              599.5      620.8   1.04        596.9..603.6          599.5..654.9
6x32/avx512/kc=32               158.5      162.8   1.03        157.7..160.7          159.3..164.8
6x32/avx512/kc=512               2407       2548   1.06         2398..2529            2466..2582
6x32/avx512/kc=8                 45.2      47.06   1.04        44.73..46.46          45.23..48.85
