keel-bench-cpu: unknown (no model name in /proc/cpuinfo)
keel-bench-cores: 8 logical
keel-bench-governor: performance
keel-bench-clock-mhz: unknown (no cpu MHz field)
keel-bench-platform: linux/arm64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: scalar (available: scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: scalar: 5.6 GFLOP/s (2.81 GHz cpuinfo_max_freq x 2 FP ports, unfused: 1 flop/op x 1 lanes)
keel-bench-gomaxprocs: 1
keel-bench-kern: 8x8/neon (available: 8x8/neon 4x16/neon 8x8/scalar 4x16/scalar)
keel-bench-kern-class: fma insns-per-fma=0.000 (no vector backend in this build (class unused))
keel-bench-kern-audit: 
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: arm64
pkg: github.com/scttfrdmn/keel/bench
BenchmarkKernel/8x8/neon/kc=8         	16957363	        70.50 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17019696	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17027466	        70.50 ns/op	        14.52 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17019595	        70.48 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17019490	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17038150	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17013206	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17011392	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17017633	        70.50 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17032075	        70.47 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17012654	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17011442	        70.48 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17045434	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17033341	        70.48 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17036293	        70.48 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17037554	        70.48 ns/op	        14.53 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/neon/kc=8         	17030629	        70.49 ns/op	        14.53 GFLOP/s	      1024 flops/call
