keel-pin: mask=0,8,16,24,32,40,48,56 width=8 doms=0,8,16,24,32,40,48,56 nodedoms=12
keel-bench-cpu: AMD EPYC 9R14
keel-bench-cores: 8 logical
keel-bench-governor: unknown (no cpufreq)
keel-bench-clock-mhz: 2600-3735 (snapshot, not sustained)
keel-bench-platform: linux/amd64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: avx512 (available: avx512 avx2 scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: avx512: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: avx2: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: scalar: unavailable (no cpuinfo_max_freq)
keel-bench-gomaxprocs: 8
keel-bench-kern: 4x32/avx512 (available: 4x32/avx512 2x32/avx512 4x32/scalar 2x32/scalar)
keel-bench-kern-class: fma insns-per-fma=6.250 (avx512 with vbmi2+vpopcntdq (Ice Lake / Zen 4 or later))
keel-bench-kern-audit: 4x32/avx512=6.250 2x32/avx512=4.625
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: amd64
pkg: github.com/scttfrdmn/keel/bench
cpu: AMD EPYC 9R14
BenchmarkKernel/4x32/avx512/kc=128-8         	 4149895	       289.3 ns/op	       113.2 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4148871	       289.2 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4152800	       289.7 ns/op	       113.1 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4149229	       289.0 ns/op	       113.4 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4148845	       288.9 ns/op	       113.4 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4151204	       289.0 ns/op	       113.4 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4139692	       288.9 ns/op	       113.4 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4151390	       289.1 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4139647	       289.1 ns/op	       113.4 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4147297	       289.2 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4138972	       289.5 ns/op	       113.2 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4148257	       289.1 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4148679	       289.1 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4154048	       289.2 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4151664	       289.5 ns/op	       113.2 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4151096	       289.2 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4147958	       289.1 ns/op	       113.4 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4147191	       289.0 ns/op	       113.4 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4150369	       289.2 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4147566	       289.1 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4151850	       289.1 ns/op	       113.3 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/avx512/kc=128-8         	 4140637	       289.2 ns/op	       113.3 GFLOP/s	     32768 flops/call
